size,trial,seed,particles,momentum_x,momentum_y,initial_density_equal,initial_hamming,swap_cell_a,swap_direction_a,swap_cell_b,swap_direction_b,base_period,perturbed_period,pair_period_lcm,same_exact_cycle,first_micro_growth,first_density_difference,first_half_saturation,max_hamming_2000,mean_hamming_1001_2000,mean_normalized_damage_1001_2000,max_density_l1_2000,mean_density_l1_1001_2000,exact_reconvergence_observed
5,42,2026121842,14,0,0,True,4,13,W,19,E,,,,,3,1,7,28,18.256,0.652,24,12.578,False
5,43,2026121843,14,0,0,True,4,1,N,17,W,,,,,3,1,21,22,12.652,0.45185714285714285,20,9.534,False
5,44,2026121844,14,0,0,True,4,12,W,17,S,,,,,3,1,,8,6.2,0.22142857142857145,8,4.96,False
5,45,2026121845,14,0,0,True,4,0,N,22,W,,,,,3,1,7,24,16.544,0.5908571428571429,22,11.712,False
5,46,2026121846,14,0,0,True,4,6,N,22,E,,,,,2,1,10,26,17.422,0.6222142857142857,22,12.374,False
5,47,2026121847,14,0,0,True,4,14,E,21,N,,,,,4,1,33,28,19.816,0.7077142857142856,26,13.682,False
5,48,2026121848,14,0,0,True,4,4,E,24,N,,,,,3,1,8,26,15.932,0.5690000000000001,22,11.394,False
5,49,2026121849,14,0,0,True,4,11,W,21,E,,,,,4,1,14,26,18.716,0.6684285714285715,24,13.34,False
6,0,2026131800,14,0,0,True,4,24,W,29,E,54,432,432,False,3,1,17,14,8.146,0.2909285714285715,12,6.544,False
6,1,2026131801,14,0,0,True,4,11,E,33,W,17082,1314,17082,False,2,1,,10,7.526,0.2687857142857143,10,5.66,False
6,2,2026131802,14,0,0,True,4,22,N,29,E,30,30,30,False,,1,,4,4,0.14285714285714285,4,3.332,False
6,3,2026131803,14,0,0,True,4,3,E,19,W,414,84,5796,False,3,1,123,18,13.298,0.4749285714285714,18,10.626,False
6,4,2026131804,14,0,0,True,4,27,N,33,S,18,18,18,False,,1,,4,4,0.14285714285714285,4,2.668,False
6,5,2026131805,14,0,0,True,4,10,W,20,N,150,222,5550,False,2,1,8,16,11.588,0.4138571428571428,16,9.104,False
6,6,2026131806,14,0,0,True,4,7,S,34,N,252,588,1764,False,5,1,22,18,12.74,0.455,16,9.542,False
6,7,2026131807,14,0,0,True,4,15,N,26,S,132,42,924,False,2,1,46,14,10.95,0.39107142857142857,14,9.556,False
6,8,2026131808,14,0,0,True,4,17,E,32,S,30,30,30,False,,1,,4,4,0.14285714285714285,4,3.332,False
6,9,2026131809,14,0,0,True,4,9,E,29,W,420,18,1260,False,5,1,95,16,12.008,0.4288571428571428,16,9.916,False
6,10,2026131810,14,0,0,True,4,6,E,20,W,,,,,,1,,4,4,0.14285714285714285,4,2.668,False
6,11,2026131811,14,0,0,True,4,25,E,26,N,,,,,3,1,9,28,17.882,0.6386428571428572,24,14.124,False
6,12,2026131812,14,0,0,True,4,7,N,11,E,,,,,3,1,,12,9.21,0.32892857142857146,12,7.538,False
6,13,2026131813,14,0,0,True,4,14,S,32,N,,,,,2,1,7,20,12.728,0.45457142857142857,18,9.368,False
6,14,2026131814,14,0,0,True,4,30,N,35,S,,,,,3,1,52,18,13.032,0.4654285714285714,18,10.99,False
6,15,2026131815,14,0,0,True,4,7,W,31,N,,,,,,1,,4,4,0.14285714285714285,4,3.332,False
6,16,2026131816,14,0,0,True,4,21,E,24,W,,,,,2,1,,6,5.334,0.19049999999999997,6,4.224,False
6,17,2026131817,14,0,0,True,4,5,S,30,E,,,,,6,1,,12,8.348,0.29814285714285715,12,6.662,False
6,18,2026131818,14,0,0,True,4,13,S,35,N,,,,,,1,,4,4,0.14285714285714285,4,2.668,False
6,19,2026131819,14,0,0,True,4,0,W,22,S,,,,,5,1,8,20,12.702,0.4536428571428571,18,10.43,False
6,20,2026131820,14,0,0,True,4,3,N,23,E,,,,,2,1,14,14,10.286,0.3673571428571428,14,8.716,False
6,21,2026131821,14,0,0,True,4,7,E,24,N,,,,,2,1,,8,6.668,0.23814285714285716,8,5.406,False
6,22,2026131822,14,0,0,True,4,20,S,24,W,,,,,3,1,,12,8.616,0.3077142857142857,12,7.15,False
6,23,2026131823,14,0,0,True,4,10,W,23,S,,,,,39,1,,12,8.796,0.3141428571428571,12,7.082,False
6,24,2026131824,14,0,0,True,4,9,W,24,N,,,,,5,1,,6,4.498,0.16064285714285714,6,3.664,False
6,25,2026131825,14,0,0,True,4,6,N,22,S,,,,,,1,,4,4,0.14285714285714285,4,2.668,False
6,26,2026131826,14,0,0,True,4,15,N,28,S,,,,,,1,,4,4,0.14285714285714285,4,2.668,False
6,27,2026131827,14,0,0,True,4,11,S,20,W,,,,,2,1,11,14,8.674,0.3097857142857143,14,7.302,False
6,28,2026131828,14,0,0,True,4,29,W,34,N,,,,,4,1,10,18,11.45,0.4089285714285714,16,8.99,False
6,29,2026131829,14,0,0,True,4,17,N,30,W,,,,,2,1,9,20,14.036,0.5012857142857142,20,10.596,False
6,30,2026131830,14,0,0,True,4,15,S,20,E,,,,,,1,,4,4,0.14285714285714285,4,3.332,False
6,31,2026131831,14,0,0,True,4,3,N,23,W,,,,,2,1,13,18,12.994,0.4640714285714286,18,11.028,False
6,32,2026131832,14,0,0,True,4,16,S,31,W,,,,,3,1,,6,4.836,0.17271428571428574,6,4.222,False
6,33,2026131833,14,0,0,True,4,0,S,28,E,,,,,6,1,13,16,10.576,0.3777142857142857,16,8.502,False
6,34,2026131834,14,0,0,True,4,26,N,30,E,,,,,3,1,9,24,17.338,0.6192142857142857,24,14.444,False
6,35,2026131835,14,0,0,True,4,6,E,24,S,,,,,3,1,,6,5.502,0.19649999999999998,6,4.836,False
6,36,2026131836,14,0,0,True,4,7,S,22,W,,,,,2,1,,6,5.002,0.17864285714285713,6,4.334,False
6,37,2026131837,14,0,0,True,4,2,N,17,E,,,,,10,1,,8,6.152,0.21971428571428572,8,5.21,False
6,38,2026131838,14,0,0,True,4,0,N,9,S,,,,,3,1,122,14,10.834,0.3869285714285714,14,8.532,False
6,39,2026131839,14,0,0,True,4,21,W,32,S,,,,,2,1,7,26,15.924,0.5687142857142857,22,12.95,False
6,40,2026131840,14,0,0,True,4,21,N,27,S,,,,,2,1,40,16,11.304,0.40371428571428575,16,8.848,False
6,41,2026131841,14,0,0,True,4,3,W,15,S,,,,,8,1,15,14,8.954,0.3197857142857143,14,7.438,False
6,42,2026131842,14,0,0,True,4,10,W,21,E,,,,,,1,,4,4,0.14285714285714285,4,2.668,False
6,43,2026131843,14,0,0,True,4,29,S,30,N,,,,,3,1,52,16,10.71,0.3825,14,7.656,False
6,44,2026131844,14,0,0,True,4,12,E,14,W,,,,,2,1,,8,5.884,0.21014285714285716,8,5.418,False
6,45,2026131845,14,0,0,True,4,24,W,28,S,,,,,5,1,11,18,11.744,0.41942857142857143,16,8.742,False
6,46,2026131846,14,0,0,True,4,6,S,17,E,,,,,2,1,,10,8.376,0.2991428571428571,10,6.824,False
6,47,2026131847,14,0,0,True,4,5,W,22,E,,,,,2,1,11,18,11.592,0.41400000000000003,16,9.122,False
6,48,2026131848,14,0,0,True,4,0,S,19,W,,,,,2,1,,12,9.148,0.3267142857142857,12,7.63,False
6,49,2026131849,14,0,0,True,4,13,E,24,W,,,,,11,1,16,22,14.776,0.5277142857142857,18,10.594,False
7,0,2026141800,14,0,0,True,4,20,N,38,S,336,70,1680,False,3,1,52,24,13.862,0.49507142857142855,20,11.252,False
7,1,2026141801,14,0,0,True,4,3,E,48,W,3584,119,60928,False,5,1,11,26,17.864,0.638,26,14.42,False
7,2,2026141802,14,0,0,True,4,34,S,41,W,126,63,126,False,6,1,,6,5.006,0.1787857142857143,6,4.434,False
7,3,2026141803,14,0,0,True,4,0,E,12,S,378,14,378,False,6,1,31,22,12.86,0.45928571428571424,20,10.884,False
7,4,2026141804,14,0,0,True,4,8,S,36,N,609,392,34104,False,2,1,27,24,16.124,0.5758571428571428,22,13.422,False
7,5,2026141805,14,0,0,True,4,24,N,35,S,70686,69230,349542270,False,5,1,17,28,23.742,0.8479285714285715,28,18.82,False
7,6,2026141806,14,0,0,True,4,24,W,42,N,28,14,28,False,7,1,,8,6.488,0.23171428571428573,8,5.492,False
7,7,2026141807,14,0,0,True,4,17,S,38,N,14,14,14,False,,1,,4,4,0.14285714285714285,4,3.428,False
7,8,2026141808,14,0,0,True,4,5,N,38,W,623,707,62923,False,3,1,7,22,14.496,0.5177142857142857,22,11.796,False
7,9,2026141809,14,0,0,True,4,1,W,31,E,21,539,1617,False,2,1,19,22,14.558,0.5199285714285714,22,12.254,False
7,10,2026141810,14,0,0,True,4,6,E,36,W,,,,,7,1,,6,5.006,0.1787857142857143,6,4.292,False
7,11,2026141811,14,0,0,True,4,0,N,35,S,,,,,6,1,12,28,21.576,0.7705714285714286,28,17.532,False
7,12,2026141812,14,0,0,True,4,15,S,46,W,,,,,5,1,21,28,20.762,0.7415,28,16.574,False
7,13,2026141813,14,0,0,True,4,28,E,46,S,,,,,3,1,14,26,18.34,0.655,24,15.224,False
7,14,2026141814,14,0,0,True,4,4,N,26,W,,,,,2,1,18,16,10.216,0.3648571428571428,16,8.428,False
7,15,2026141815,14,0,0,True,4,25,E,34,S,,,,,4,1,17,24,17.344,0.6194285714285714,24,14.372,False
7,16,2026141816,14,0,0,True,4,2,E,25,W,,,,,2,1,35,14,8.002,0.2857857142857143,14,7,False
7,17,2026141817,14,0,0,True,4,7,E,26,N,,,,,2,1,17,16,9.756,0.3484285714285714,16,8.342,False
7,18,2026141818,14,0,0,True,4,25,E,47,S,,,,,3,1,14,28,20.424,0.7294285714285714,26,16.374,False
7,19,2026141819,14,0,0,True,4,3,N,19,S,,,,,2,1,,6,4.998,0.17850000000000002,6,4.284,False
7,20,2026141820,14,0,0,True,4,10,S,43,E,,,,,5,1,16,26,18.356,0.6555714285714286,22,14.466,False
7,21,2026141821,14,0,0,True,4,15,S,18,E,,,,,6,1,19,18,11.648,0.416,16,9.686,False
7,22,2026141822,14,0,0,True,4,28,E,37,W,,,,,3,1,39,16,10.308,0.36814285714285716,16,8.646,False
7,23,2026141823,14,0,0,True,4,9,S,17,W,,,,,2,1,5,26,17.082,0.6100714285714286,24,13.83,False
7,24,2026141824,14,0,0,True,4,37,N,44,S,,,,,9,1,24,22,14.336,0.512,22,12.058,False
