step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
60,3,13/20|3/4|17/20|17/20,-2/5|-1/5|2/5|3/5,9/20|13/20|3/4|1/4,3/5|-2/5|-1/5|2/5,4/5,False,False
61,61/20,63/100|37/50|87/100|22/25,-2/5|-1/5|2/5|3/5,12/25|63/100|37/50|27/100,3/5|-2/5|-1/5|2/5,39/50,False,False
62,31/10,61/100|73/100|89/100|91/100,-2/5|-1/5|2/5|3/5,51/100|61/100|73/100|29/100,3/5|-2/5|-1/5|2/5,19/25,False,False
63,63/20,59/100|18/25|91/100|47/50,-2/5|-1/5|2/5|3/5,27/50|59/100|18/25|31/100,3/5|-2/5|-1/5|2/5,37/50,False,False
64,16/5,57/100|71/100|93/100|97/100,-2/5|-1/5|2/5|3/5,57/100|57/100|71/100|33/100,-2/5|3/5|-1/5|2/5,18/25,False,False
65,13/4,11/20|7/10|19/20|0,-2/5|-1/5|2/5|3/5,11/20|3/5|7/10|7/20,-2/5|3/5|-1/5|2/5,7/10,False,False
66,33/10,53/100|69/100|97/100|3/100,-2/5|-1/5|2/5|3/5,53/100|63/100|69/100|37/100,-2/5|3/5|-1/5|2/5,17/25,False,False
67,67/20,51/100|17/25|99/100|3/50,-2/5|-1/5|2/5|3/5,51/100|33/50|17/25|39/100,-2/5|3/5|-1/5|2/5,33/50,False,False
68,17/5,49/100|67/100|1/100|9/100,-2/5|-1/5|2/5|3/5,49/100|67/100|69/100|41/100,-2/5|-1/5|3/5|2/5,16/25,False,False
69,69/20,47/100|33/50|3/100|3/25,-2/5|-1/5|2/5|3/5,47/100|33/50|18/25|43/100,-2/5|-1/5|3/5|2/5,31/50,False,False
70,7/2,9/20|13/20|1/20|3/20,-2/5|-1/5|2/5|3/5,9/20|13/20|3/4|9/20,2/5|-1/5|3/5|-2/5,3/5,False,False
71,71/20,43/100|16/25|7/100|9/50,-2/5|-1/5|2/5|3/5,47/100|16/25|39/50|43/100,2/5|-1/5|3/5|-2/5,29/50,False,False
72,18/5,41/100|63/100|9/100|21/100,-2/5|-1/5|2/5|3/5,49/100|63/100|81/100|41/100,2/5|-1/5|3/5|-2/5,14/25,False,False
73,73/20,39/100|31/50|11/100|6/25,-2/5|-1/5|2/5|3/5,51/100|31/50|21/25|39/100,2/5|-1/5|3/5|-2/5,27/50,False,False
74,37/10,37/100|61/100|13/100|27/100,-2/5|-1/5|2/5|3/5,53/100|61/100|87/100|37/100,2/5|-1/5|3/5|-2/5,13/25,False,False
75,15/4,7/20|3/5|3/20|3/10,-2/5|-1/5|2/5|3/5,11/20|3/5|9/10|7/20,2/5|-1/5|3/5|-2/5,1/2,False,False
76,19/5,33/100|59/100|17/100|33/100,3/5|-1/5|2/5|-2/5,57/100|59/100|93/100|33/100,2/5|-1/5|3/5|-2/5,12/25,False,False
77,77/20,9/25|29/50|19/100|31/100,3/5|-1/5|2/5|-2/5,29/50|59/100|24/25|31/100,-1/5|2/5|3/5|-2/5,23/50,False,False
78,39/10,39/100|57/100|21/100|29/100,3/5|-1/5|2/5|-2/5,57/100|61/100|99/100|29/100,-1/5|2/5|3/5|-2/5,11/25,False,False
79,79/20,21/50|14/25|23/100|27/100,3/5|-1/5|2/5|-2/5,14/25|63/100|1/50|27/100,-1/5|2/5|3/5|-2/5,21/50,False,False
80,4,9/20|11/20|1/4|1/4,3/5|-1/5|-2/5|2/5,11/20|13/20|1/20|1/4,-1/5|2/5|3/5|-2/5,2/5,False,False
81,81/20,12/25|27/50|23/100|27/100,3/5|-1/5|-2/5|2/5,27/50|67/100|2/25|23/100,-1/5|2/5|3/5|-2/5,19/50,False,False
82,41/10,51/100|53/100|21/100|29/100,3/5|-1/5|-2/5|2/5,53/100|69/100|11/100|21/100,-1/5|2/5|3/5|-2/5,9/25,False,False
83,83/20,13/25|27/50|19/100|31/100,-1/5|3/5|-2/5|2/5,13/25|71/100|7/50|19/100,-1/5|2/5|3/5|-2/5,17/50,False,False
84,21/5,51/100|57/100|17/100|33/100,-1/5|3/5|-2/5|2/5,51/100|73/100|17/100|17/100,-1/5|2/5|-2/5|3/5,8/25,False,False
85,17/4,1/2|3/5|3/20|7/20,-1/5|3/5|-2/5|2/5,1/2|3/4|3/20|1/5,-1/5|2/5|-2/5|3/5,3/10,False,False
86,43/10,49/100|63/100|13/100|37/100,-1/5|3/5|-2/5|2/5,49/100|77/100|13/100|23/100,-1/5|2/5|-2/5|3/5,7/25,False,False
87,87/20,12/25|33/50|11/100|39/100,-1/5|3/5|-2/5|2/5,12/25|79/100|11/100|13/50,-1/5|2/5|-2/5|3/5,13/50,False,False
88,22/5,47/100|69/100|9/100|41/100,-1/5|3/5|-2/5|2/5,47/100|81/100|9/100|29/100,-1/5|2/5|-2/5|3/5,6/25,False,False
89,89/20,23/50|18/25|7/100|43/100,-1/5|3/5|-2/5|2/5,23/50|83/100|7/100|8/25,-1/5|2/5|-2/5|3/5,11/50,False,False
90,9/2,9/20|3/4|1/20|9/20,2/5|3/5|-2/5|-1/5,9/20|17/20|1/20|7/20,-1/5|2/5|-2/5|3/5,1/5,False,False
91,91/20,47/100|39/50|3/100|11/25,2/5|3/5|-2/5|-1/5,11/25|87/100|3/100|19/50,-1/5|2/5|-2/5|3/5,9/50,False,False
92,23/5,49/100|81/100|1/100|43/100,2/5|3/5|-2/5|-1/5,43/100|89/100|1/100|41/100,-1/5|2/5|-2/5|3/5,4/25,False,False
93,93/20,51/100|21/25|99/100|21/50,2/5|3/5|-2/5|-1/5,11/25|91/100|99/100|21/50,3/5|2/5|-2/5|-1/5,7/50,False,False
94,47/10,53/100|87/100|97/100|41/100,2/5|3/5|-2/5|-1/5,47/100|93/100|97/100|41/100,3/5|2/5|-2/5|-1/5,3/25,False,False
