step,time,base_positions,base_velocities,perturbed_positions,perturbed_velocities,position_torus_l1,positions_exactly_equal,complete_states_equal
181,181/20,23/100|27/100|12/25|27/50,-2/5|2/5|3/5|-1/5,2/25|23/100|27/50|67/100,3/5|-2/5|-1/5|2/5,19/50,False,False
182,91/10,21/100|29/100|51/100|53/100,-2/5|2/5|3/5|-1/5,11/100|21/100|53/100|69/100,3/5|-2/5|-1/5|2/5,9/25,False,False
183,183/20,19/100|31/100|13/25|27/50,-2/5|2/5|-1/5|3/5,7/50|19/100|13/25|71/100,3/5|-2/5|-1/5|2/5,17/50,False,False
184,46/5,17/100|33/100|51/100|57/100,-2/5|2/5|-1/5|3/5,17/100|17/100|51/100|73/100,-2/5|3/5|-1/5|2/5,8/25,False,False
185,37/4,3/20|7/20|1/2|3/5,-2/5|2/5|-1/5|3/5,3/20|1/5|1/2|3/4,-2/5|3/5|-1/5|2/5,3/10,False,False
186,93/10,13/100|37/100|49/100|63/100,-2/5|2/5|-1/5|3/5,13/100|23/100|49/100|77/100,-2/5|3/5|-1/5|2/5,7/25,False,False
187,187/20,11/100|39/100|12/25|33/50,-2/5|2/5|-1/5|3/5,11/100|13/50|12/25|79/100,-2/5|3/5|-1/5|2/5,13/50,False,False
188,47/5,9/100|41/100|47/100|69/100,-2/5|2/5|-1/5|3/5,9/100|29/100|47/100|81/100,-2/5|3/5|-1/5|2/5,6/25,False,False
189,189/20,7/100|43/100|23/50|18/25,-2/5|2/5|-1/5|3/5,7/100|8/25|23/50|83/100,-2/5|3/5|-1/5|2/5,11/50,False,False
190,19/2,1/20|9/20|9/20|3/4,-2/5|-1/5|2/5|3/5,1/20|7/20|9/20|17/20,-2/5|3/5|-1/5|2/5,1/5,False,False
191,191/20,3/100|11/25|47/100|39/50,-2/5|-1/5|2/5|3/5,3/100|19/50|11/25|87/100,-2/5|3/5|-1/5|2/5,9/50,False,False
192,48/5,1/100|43/100|49/100|81/100,-2/5|-1/5|2/5|3/5,1/100|41/100|43/100|89/100,-2/5|3/5|-1/5|2/5,4/25,False,False
193,193/20,99/100|21/50|51/100|21/25,-2/5|-1/5|2/5|3/5,99/100|21/50|11/25|91/100,-2/5|-1/5|3/5|2/5,7/50,False,False
194,97/10,97/100|41/100|53/100|87/100,-2/5|-1/5|2/5|3/5,97/100|41/100|47/100|93/100,-2/5|-1/5|3/5|2/5,3/25,False,False
195,39/4,19/20|2/5|11/20|9/10,-2/5|-1/5|2/5|3/5,19/20|2/5|1/2|19/20,2/5|-1/5|3/5|-2/5,1/10,False,False
196,49/5,93/100|39/100|57/100|93/100,3/5|-1/5|2/5|-2/5,97/100|39/100|53/100|93/100,2/5|-1/5|3/5|-2/5,2/25,False,False
197,197/20,24/25|19/50|59/100|91/100,3/5|-1/5|2/5|-2/5,99/100|19/50|14/25|91/100,2/5|-1/5|3/5|-2/5,3/50,False,False
198,99/10,99/100|37/100|61/100|89/100,3/5|-1/5|2/5|-2/5,1/100|37/100|59/100|89/100,2/5|-1/5|3/5|-2/5,1/25,False,False
199,199/20,1/50|9/25|63/100|87/100,3/5|-1/5|2/5|-2/5,3/100|9/25|31/50|87/100,2/5|-1/5|3/5|-2/5,1/50,False,False
200,10,1/20|7/20|13/20|17/20,3/5|-1/5|2/5|-2/5,1/20|7/20|13/20|17/20,2/5|-1/5|3/5|-2/5,0,True,False
