seed,period,log10_period,brent_evaluations,analytic_period_divisor,initial_collision_sites,mean_collision_sites_30,max_collision_sites_30,nonzero_collision_steps_30,mean_step_hamming_30,unique_density_frames_31,collision_t0,collision_t1,collision_t2,collision_t3,collision_t4,collision_t5,collision_t6,collision_t7,collision_t8,collision_t9,collision_t10,collision_t11,collision_t12,collision_t13,collision_t14,collision_t15,collision_t16,collision_t17,collision_t18,collision_t19,collision_t20,collision_t21,collision_t22,collision_t23,collision_t24,collision_t25,collision_t26,collision_t27,collision_t28,collision_t29,hamming_t0,hamming_t1,hamming_t2,hamming_t3,hamming_t4,hamming_t5,hamming_t6,hamming_t7,hamming_t8,hamming_t9,hamming_t10,hamming_t11,hamming_t12,hamming_t13,hamming_t14,hamming_t15,hamming_t16,hamming_t17,hamming_t18,hamming_t19,hamming_t20,hamming_t21,hamming_t22,hamming_t23,hamming_t24,hamming_t25,hamming_t26,hamming_t27,hamming_t28,hamming_t29
880454,445,2.648360010981,956,5,2,0.833333333333,2,20,26.333333333333,31,2,0,0,1,1,1,1,1,0,1,1,1,0,0,2,2,0,1,1,2,0,1,1,0,2,1,0,1,0,1,28,28,28,28,26,26,26,26,26,26,24,26,24,24,26,26,26,28,28,26,26,26,26,26,26,26,26,26,28,28
880455,10,1.000000000000,25,5,0,0.400000000000,2,6,25.000000000000,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,24,24,24,24,24,26,26,26,26,26,24,24,24,24,24,26,26,26,26,26,24,24,24,24,24,26,26,26,26,26
880456,10,1.000000000000,25,5,1,0.400000000000,1,12,26.000000000000,9,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
880457,15,1.176091259056,30,5,2,0.933333333333,2,22,20.000000000000,15,2,0,2,0,1,1,0,1,1,2,1,0,1,1,1,2,0,2,0,1,1,0,1,1,2,1,0,1,1,1,18,20,18,20,20,22,22,20,20,20,20,20,20,20,20,18,20,18,20,20,22,22,20,20,20,20,20,20,20,20
880458,655,2.816241299992,1678,5,1,0.900000000000,3,17,25.600000000000,31,1,0,0,3,0,2,0,0,3,3,1,0,1,0,1,2,0,1,0,2,1,0,1,1,0,1,2,0,1,0,26,26,26,24,24,26,24,24,26,26,28,28,28,26,26,24,24,26,28,28,28,28,26,24,24,26,22,22,24,26
880459,360,2.556302500767,871,5,2,1.266666666667,4,20,23.800000000000,31,2,0,0,2,1,1,0,1,3,1,0,0,2,3,3,2,0,0,1,2,2,1,0,2,2,0,1,0,2,4,22,24,24,26,26,24,22,22,22,24,24,24,22,24,24,24,26,26,26,24,24,20,22,22,24,24,24,26,24,24
880460,10705,4.029586671630,27088,5,1,0.933333333333,3,20,24.466666666667,29,1,1,1,1,2,0,3,0,1,1,1,1,1,1,1,0,0,1,2,0,1,1,0,0,0,2,3,0,0,2,24,24,22,24,20,22,20,24,26,28,28,26,26,24,26,28,28,28,26,22,20,24,24,24,24,26,26,22,22,26
880461,18105,4.257798529153,50872,5,0,1.233333333333,3,23,25.266666666667,31,0,2,1,2,1,1,2,1,3,0,0,2,2,0,0,1,1,3,2,1,1,1,0,3,2,1,1,0,2,1,24,24,26,24,24,26,22,26,28,26,26,28,28,28,28,26,24,22,22,24,26,26,26,22,24,24,26,26,26,26
880462,40,1.602059991328,103,5,2,0.766666666667,3,16,27.600000000000,28,2,0,1,0,0,2,0,1,1,1,1,0,0,1,3,0,0,0,0,3,1,0,0,1,1,1,1,0,2,0,26,26,28,28,28,28,28,26,28,28,28,28,28,28,26,28,28,28,28,26,28,28,28,28,28,28,26,28,28,28
880463,19670,4.293804359919,52437,5,1,1.400000000000,3,22,25.733333333333,31,1,0,3,1,2,1,0,3,0,2,1,0,3,2,3,2,1,2,0,3,2,1,0,1,3,1,0,0,2,2,20,22,28,26,28,26,28,26,24,24,24,24,24,24,28,26,28,24,26,26,28,26,26,26,26,26,28,28,26,26
880464,2550,3.406540180434,6645,5,1,1.000000000000,2,22,26.933333333333,30,1,0,2,1,1,0,2,1,2,1,1,0,1,2,1,1,1,1,0,0,1,1,2,2,0,0,0,1,2,2,26,26,28,28,26,26,24,26,26,28,26,26,26,28,26,28,28,28,28,28,28,28,26,28,28,28,28,28,26,24
880465,20,1.301029995664,51,5,1,0.633333333333,2,12,20.266666666667,18,1,2,0,2,0,0,0,0,2,0,1,2,0,1,0,0,0,0,1,0,1,2,0,2,0,0,0,0,2,0,18,18,18,22,22,22,22,22,22,18,18,18,18,20,22,22,22,22,20,18,18,18,18,22,22,22,22,22,22,18
880466,3000,3.477121254720,7095,5,0,1.033333333333,3,24,26.866666666667,31,0,1,2,1,1,1,0,2,0,1,1,1,2,1,1,1,1,3,0,0,1,1,3,1,1,1,1,0,1,1,28,28,28,24,26,26,28,28,28,28,28,26,26,26,28,26,28,26,28,28,28,28,24,26,24,26,26,26,28,28
880467,30,1.477121254720,61,5,0,0.466666666667,2,10,19.333333333333,24,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,0,1,0,0,1,0,2,0,0,0,0,2,0,0,1,20,20,20,20,18,18,18,20,20,20,20,20,18,18,20,20,20,20,20,18,18,18,20,20,20,20,20,18,18,20
880468,660,2.819543935542,1683,5,1,1.000000000000,2,20,24.466666666667,31,1,1,0,2,1,2,1,0,0,0,2,2,0,1,1,1,2,0,2,2,0,1,0,0,2,2,1,0,2,1,26,24,24,24,24,24,24,26,26,26,24,26,24,22,22,22,22,24,26,24,24,26,26,26,26,26,24,24,26,22
880469,15875,4.200713733964,32258,5,1,0.966666666667,3,23,25.266666666667,31,1,0,1,1,1,0,2,1,0,3,0,1,1,1,1,1,1,1,2,1,1,1,0,0,1,2,1,0,1,2,24,26,24,26,26,28,28,22,22,24,24,24,28,26,24,24,24,26,26,28,26,26,26,26,26,28,24,26,24,22
880470,10,1.000000000000,25,5,0,0.200000000000,1,6,26.000000000000,9,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
880471,725,2.860338006571,1748,5,1,0.966666666667,3,24,21.866666666667,31,1,1,0,1,0,3,1,1,1,1,1,0,2,1,0,1,0,1,2,1,1,1,1,1,1,0,1,1,2,1,22,24,26,24,24,22,20,18,22,24,22,22,22,22,22,24,22,22,22,18,18,18,20,22,22,22,24,24,20,22
880472,55,1.740362689494,118,5,0,0.500000000000,2,13,20.733333333333,28,0,1,0,1,0,1,0,0,2,1,0,0,0,1,1,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,18,20,20,18,20,20,18,18,22,22,24,24,24,24,22,20,20,22,22,22,22,22,20,20,18,18,20,20,22,20
880473,745,2.872156272748,1768,5,1,0.933333333333,2,20,26.466666666667,31,1,1,1,2,0,0,0,2,2,0,1,0,1,2,2,0,0,0,2,1,1,0,1,2,0,1,1,1,2,1,28,26,26,28,28,28,28,26,24,24,24,26,24,26,26,28,28,28,26,26,24,26,28,28,28,28,26,24,26,28
880474,2995,3.476396826725,7090,5,0,0.900000000000,3,20,27.600000000000,31,0,1,1,3,0,1,0,1,2,1,0,0,0,2,0,1,1,1,2,0,2,1,0,1,1,1,2,1,0,1,28,28,28,26,28,28,28,28,28,28,28,28,28,26,28,28,28,28,26,26,26,28,28,28,28,26,28,28,28,28
880475,7930,3.899273187318,16121,5,2,1.200000000000,4,20,25.666666666667,31,2,0,0,0,1,4,0,2,2,0,3,1,0,0,1,2,1,0,2,1,3,2,0,2,0,3,1,1,1,1,26,28,28,28,28,24,22,22,24,24,24,28,28,28,28,28,24,24,24,26,24,24,24,22,26,26,28,28,26,26
880476,80,1.903089986992,207,5,1,0.733333333333,2,20,21.733333333333,29,1,0,1,0,1,2,1,1,0,0,1,1,1,0,0,2,1,1,1,0,0,1,1,1,1,1,0,1,0,1,22,24,24,24,22,22,20,20,20,20,22,22,22,22,22,20,18,20,22,22,22,24,20,18,22,22,24,24,24,22
880477,135,2.130333768495,390,5,0,0.666666666667,2,16,23.200000000000,30,0,1,0,2,0,2,0,1,0,1,0,1,0,0,2,1,0,1,0,1,1,0,0,1,1,0,0,1,1,2,24,22,24,22,18,20,22,22,24,24,24,24,22,22,24,22,24,24,24,24,26,24,24,26,26,24,24,24,22,20
880478,1070,3.029383777685,3117,5,1,0.966666666667,3,20,27.066666666667,31,1,1,1,1,0,1,2,2,2,0,0,1,2,0,1,0,3,1,1,0,0,2,1,2,0,1,0,1,2,0,26,26,26,26,28,26,28,28,28,28,28,28,26,26,26,26,28,28,28,28,28,26,26,26,28,28,28,28,28,24
880479,530,2.724275869601,1553,5,1,0.533333333333,2,13,23.866666666667,29,1,0,1,0,0,1,0,2,0,0,0,2,1,1,0,0,2,1,0,0,1,1,0,0,0,0,1,1,0,0,24,24,24,24,24,22,22,22,24,24,24,24,24,24,22,22,24,26,24,24,24,24,24,24,24,24,24,24,26,26
880480,25,1.397940008672,56,5,0,0.733333333333,2,17,25.000000000000,24,0,1,0,1,2,0,1,0,0,2,0,1,0,1,2,0,1,1,1,0,0,0,1,1,2,0,1,0,1,2,26,24,24,24,24,24,26,26,26,26,24,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,24,24,24,24
