seed,period,log10_period,brent_evaluations,analytic_period_divisor,initial_collision_sites,mean_collision_sites_30,max_collision_sites_30,nonzero_collision_steps_30,mean_step_hamming_30,unique_density_frames_31,collision_t0,collision_t1,collision_t2,collision_t3,collision_t4,collision_t5,collision_t6,collision_t7,collision_t8,collision_t9,collision_t10,collision_t11,collision_t12,collision_t13,collision_t14,collision_t15,collision_t16,collision_t17,collision_t18,collision_t19,collision_t20,collision_t21,collision_t22,collision_t23,collision_t24,collision_t25,collision_t26,collision_t27,collision_t28,collision_t29,hamming_t0,hamming_t1,hamming_t2,hamming_t3,hamming_t4,hamming_t5,hamming_t6,hamming_t7,hamming_t8,hamming_t9,hamming_t10,hamming_t11,hamming_t12,hamming_t13,hamming_t14,hamming_t15,hamming_t16,hamming_t17,hamming_t18,hamming_t19,hamming_t20,hamming_t21,hamming_t22,hamming_t23,hamming_t24,hamming_t25,hamming_t26,hamming_t27,hamming_t28,hamming_t29
880012,4915,3.691523522168,13106,5,0,1.166666666667,4,21,25.133333333333,31,0,4,0,1,1,0,4,0,2,1,1,2,1,0,1,1,3,1,0,0,2,2,1,1,1,1,1,0,0,3,22,28,24,24,24,24,20,24,22,26,26,24,26,26,24,26,28,28,26,26,28,24,24,24,24,26,28,26,26,26
880013,2375,3.375663613961,6470,5,2,1.066666666667,3,24,26.533333333333,30,2,2,0,1,2,1,1,0,1,1,2,1,1,1,1,3,0,0,1,2,1,1,0,1,1,1,1,0,2,1,28,26,26,26,28,28,28,28,28,28,28,28,28,26,26,24,26,26,28,26,26,28,26,26,26,26,24,26,24,24
880014,2165,3.335457900689,6260,5,2,1.166666666667,3,23,23.800000000000,31,2,1,0,1,2,1,2,2,2,2,0,3,1,1,1,1,0,2,1,0,1,2,1,1,2,2,0,0,0,1,26,28,28,28,24,24,22,22,20,22,20,22,22,22,22,22,24,26,26,24,24,24,18,20,24,26,26,26,26,26
880015,37165,4.570134137139,102700,5,2,1.233333333333,3,23,25.333333333333,31,2,0,1,2,0,3,1,2,1,0,0,0,3,1,1,3,1,1,0,0,2,1,1,1,1,2,2,1,2,2,26,24,26,22,24,24,26,26,28,28,28,28,28,24,24,24,26,26,28,28,24,24,24,24,22,24,26,26,24,24
880016,40,1.602059991328,103,5,0,0.433333333333,2,10,24.600000000000,27,0,0,0,0,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,2,26,26,26,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,26,26,26,26,26,24
880017,3475,3.540954808926,7570,5,1,1.200000000000,3,27,24.400000000000,31,1,0,2,1,1,1,1,1,0,1,1,1,3,1,1,1,1,2,1,1,3,0,1,1,2,1,1,2,1,2,26,28,28,26,26,26,26,26,26,26,24,24,22,24,22,24,26,26,24,26,26,26,24,26,24,20,20,20,20,20
880018,2665,3.425697213363,6760,5,2,0.800000000000,3,18,26.133333333333,31,2,0,1,1,0,3,0,1,0,0,1,0,2,1,1,1,0,1,2,0,1,0,1,2,1,1,0,1,0,0,28,24,24,22,22,28,26,28,28,28,26,26,24,28,28,26,26,26,26,26,26,26,26,26,26,26,28,28,26,26
880019,10405,4.017242084548,26788,5,0,1.166666666667,3,21,25.800000000000,30,0,0,2,1,3,1,2,1,0,0,1,2,1,1,3,0,0,2,2,2,0,1,1,1,1,0,3,1,3,0,28,28,24,26,22,22,24,28,28,28,28,26,22,22,26,24,24,28,28,26,26,28,28,28,26,26,24,24,26,26
880020,125,2.096910013008,252,5,0,0.566666666667,2,14,23.733333333333,29,0,1,1,1,1,1,0,1,0,0,1,0,2,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0,0,1,22,20,22,22,24,24,24,24,24,24,22,22,24,24,24,24,22,22,24,24,24,24,24,24,24,26,26,26,26,26
880021,10110,4.004751155591,26493,5,3,1.100000000000,3,21,25.133333333333,31,3,0,2,0,1,2,0,2,0,1,2,0,1,0,1,3,1,2,1,0,1,2,1,2,0,1,2,1,1,0,24,26,26,28,26,26,26,26,24,24,24,24,26,26,26,22,24,26,26,28,28,26,24,26,24,22,22,24,24,26
880022,4985,3.697665162648,13176,5,2,1.100000000000,3,24,24.733333333333,31,2,0,1,1,1,1,0,1,3,2,1,0,1,2,1,1,2,0,2,1,0,0,1,1,1,1,1,1,3,1,24,20,18,22,24,24,24,24,22,26,26,26,26,28,24,24,24,24,28,28,28,28,28,26,26,26,24,24,22,24
880023,27505,4.439411649286,60272,5,4,1.233333333333,4,20,25.733333333333,30,4,0,0,0,1,4,1,0,1,1,2,1,0,2,1,3,0,0,1,2,3,0,1,0,2,3,0,1,1,2,24,26,26,26,26,24,24,26,28,28,28,26,26,22,26,26,28,28,28,28,28,24,24,24,24,24,26,26,24,24
880024,95955,4.982067609773,227026,5,2,1.333333333333,4,23,24.933333333333,31,2,2,0,0,0,2,4,2,2,1,0,2,2,2,0,1,1,1,3,2,0,1,1,2,1,1,0,1,2,2,24,24,28,28,28,24,26,26,20,24,24,24,24,28,26,26,26,22,22,20,22,24,26,26,26,28,28,26,24,24
880025,2445,3.388278863460,6540,5,2,0.900000000000,3,19,26.200000000000,31,2,0,2,0,0,1,1,2,0,1,1,1,1,0,1,1,3,0,0,1,1,2,0,0,2,0,2,1,0,1,24,24,26,28,28,26,26,24,24,24,26,26,28,26,24,26,24,26,26,28,28,28,28,28,26,24,26,28,28,28
880026,16110,4.207095540419,32493,5,0,1.233333333333,3,22,25.266666666667,31,0,1,3,0,2,2,1,0,0,3,1,1,0,0,3,2,1,2,2,0,2,2,1,2,0,1,2,1,1,1,26,28,26,24,22,24,28,26,26,26,24,28,28,28,26,24,22,26,24,26,24,24,22,24,24,24,26,24,26,28
880027,145,2.161368002235,400,5,1,0.466666666667,2,13,25.533333333333,29,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,26,26,26,26,26,26,26,26,26,26,24,24,26,28,28,28,28,28,26,24,24,24,24,24,24,24,24,24,24,26
880028,23480,4.370698092576,56247,5,2,1.233333333333,4,24,25.466666666667,31,2,1,1,3,2,0,0,1,3,1,1,1,2,1,0,1,1,4,1,0,1,1,3,0,1,0,1,2,1,1,22,24,22,26,28,26,26,28,28,26,26,26,24,24,26,26,24,20,24,24,24,28,26,24,26,26,28,28,26,28
880029,20,1.301029995664,51,5,2,0.900000000000,3,20,25.066666666667,20,2,1,0,0,0,1,1,1,2,1,2,0,0,1,1,3,0,1,1,0,2,1,0,0,0,1,1,1,2,1,24,26,28,28,28,26,24,22,20,24,28,28,28,28,26,26,22,22,22,22,24,26,28,28,28,26,24,22,20,24
880030,3230,3.509202522331,7325,5,3,1.000000000000,3,21,26.600000000000,31,3,0,1,1,1,2,0,1,1,0,3,0,0,1,1,3,0,1,1,1,2,1,1,1,1,0,1,0,2,0,26,26,26,28,28,28,26,28,26,26,28,28,28,28,28,26,26,24,26,26,26,26,24,26,26,28,28,26,26,26
880031,20090,4.302979936748,52857,5,1,1.133333333333,3,24,24.266666666667,31,1,2,0,2,3,1,0,1,1,2,2,2,1,1,1,2,1,1,0,0,2,1,1,1,0,2,0,1,1,1,26,24,20,22,22,22,22,24,24,24,26,26,24,22,22,24,24,28,28,28,26,24,22,22,24,26,24,26,26,26
880032,40,1.602059991328,103,5,1,0.833333333333,2,22,25.933333333333,29,1,0,0,0,1,1,1,1,1,1,1,1,0,1,2,1,0,0,1,1,2,1,0,1,1,1,1,0,1,2,26,26,26,26,26,24,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
880033,52075,4.716629278620,117610,5,0,1.133333333333,3,20,27.200000000000,30,0,3,0,2,0,0,3,0,2,1,1,2,0,1,0,1,2,0,2,1,0,3,0,2,1,1,3,1,1,1,26,26,26,28,28,28,28,26,26,28,28,28,28,28,28,28,28,28,28,26,26,26,28,26,28,26,28,26,26,28
880034,35,1.544068044350,98,5,1,0.466666666667,1,14,20.133333333333,25,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,20,22,22,22,20,20,18,18,20,20,20,20,20,18,18,18,22,22,22,22,22,20,20,20,22,20,18,18,20,20
880035,13925,4.143795203846,30308,5,2,1.233333333333,3,23,25.000000000000,31,2,0,2,0,1,1,2,3,0,1,1,1,3,1,1,2,2,1,0,1,2,2,2,0,0,3,1,0,1,1,26,22,24,24,22,20,26,24,26,26,26,26,22,24,24,26,26,26,28,28,26,26,26,24,24,24,26,26,26,26
880036,1130,3.053078443483,3177,5,1,0.700000000000,2,18,25.266666666667,31,1,1,1,1,0,0,1,1,2,0,1,0,1,0,2,0,0,0,1,1,0,1,1,2,0,0,1,1,1,0,26,24,26,24,24,24,24,24,24,24,24,26,26,26,24,26,26,26,28,28,26,26,26,26,26,26,26,24,24,24
880037,3670,3.564666064252,7765,5,1,0.766666666667,2,17,25.133333333333,31,1,0,2,2,0,2,2,0,0,1,0,1,1,0,0,1,0,0,2,1,0,0,2,0,1,1,0,1,1,1,24,24,24,20,22,26,28,26,26,28,26,26,28,28,28,28,26,26,28,28,26,26,26,24,22,24,24,22,20,20
880038,1250,3.096910013008,3297,5,3,1.033333333333,3,17,25.400000000000,30,3,0,0,0,1,3,2,0,0,1,2,1,0,2,3,0,0,0,0,3,1,1,0,2,2,1,2,0,0,1,26,24,24,24,24,24,26,26,26,28,28,26,24,24,24,26,26,26,26,22,24,24,26,26,26,26,26,26,26,28
880039,215,2.332438459916,470,5,0,0.333333333333,1,10,25.000000000000,27,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,28,28,28,28,28,28,28,26,24,24,24,22,22,24,24,24,24,24,24,24,24,24,24,22,22,24,26,26,26,26
880040,530,2.724275869601,1553,5,1,0.666666666667,2,17,23.333333333333,30,1,0,1,0,0,1,0,2,0,0,1,0,2,1,1,1,1,0,0,1,1,1,1,1,1,0,0,2,0,0,26,26,26,24,24,22,20,24,24,24,24,24,22,20,20,20,22,22,22,22,22,20,20,24,26,26,26,26,26,26
880041,2425,3.384711742938,6520,5,3,1.000000000000,3,19,24.466666666667,31,3,1,0,0,2,2,0,0,1,0,3,1,2,0,1,2,0,3,0,1,0,1,2,1,1,1,1,0,1,0,26,26,26,26,26,26,28,28,26,24,22,24,24,22,22,20,20,22,26,26,28,28,24,20,20,24,24,26,26,24
880042,120,2.079181246048,247,5,0,0.466666666667,1,14,25.266666666667,30,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,26,26,26,24,24,24,24,24,26,26,26,26,26,24,24,24,24,26,26,26,26,24,24,26,26,26,26,26,26,26
880043,245,2.389166084365,500,5,1,0.666666666667,2,18,27.000000000000,29,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,2,2,1,0,1,1,1,1,1,24,26,28,28,28,28,26,24,26,28,28,26,26,26,28,28,28,28,28,26,26,28,28,26,26,26,28,28,28,28
880044,142555,5.153982454436,404698,5,2,1.566666666667,3,28,25.266666666667,31,2,1,0,2,2,2,1,3,1,2,2,1,1,1,1,3,0,2,1,2,1,1,1,3,2,2,2,2,1,2,26,26,28,28,28,24,24,22,24,20,26,28,28,26,26,26,24,22,22,24,26,24,26,26,28,24,24,24,26,28
880045,70,1.845098040014,197,5,1,0.633333333333,2,16,24.066666666667,30,1,1,0,0,0,2,1,0,0,0,1,1,0,0,0,2,1,2,0,0,1,1,1,1,0,1,0,1,1,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,24,26,26,26,26,24,22
880046,45,1.653212513775,108,5,0,0.333333333333,1,10,19.333333333333,26,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,18,20,22,22,22,22,20,20,20,20,20,20,18,18,18,18,20,18,18,18,18,16,18,18,18,20,20,20,20,20
880047,210,2.322219294734,465,5,0,0.866666666667,3,18,21.533333333333,31,0,1,1,0,2,1,0,2,0,0,1,0,3,0,2,1,1,1,0,3,0,1,1,0,1,0,1,2,0,1,22,24,22,22,24,22,22,22,22,22,20,20,22,20,18,20,20,20,22,24,20,20,22,22,22,22,22,22,22,22
880048,570,2.755874855672,1593,5,0,0.666666666667,2,17,21.533333333333,29,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,2,1,0,0,1,1,0,0,0,1,2,1,0,2,1,22,22,22,20,20,22,24,24,24,24,22,20,20,20,20,20,22,22,22,22,22,22,22,22,22,22,16,18,22,24
880049,3580,3.553883026644,7675,5,1,1.033333333333,3,23,23.333333333333,31,1,0,1,1,2,1,3,2,0,1,0,2,0,1,2,1,1,3,1,0,1,1,1,1,1,1,1,0,0,1,26,26,26,24,26,22,26,24,24,24,26,26,22,20,20,18,18,24,22,22,24,24,22,22,24,22,24,24,24,24
880050,20,1.301029995664,51,5,1,0.466666666667,1,14,25.800000000000,19,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,24,24,24,26,28,28,28,28,26,24,24,24,24,26,26,26,26,26,26,26,24,24,24,26,28,28,28,28,26,24
880051,7970,3.901458321396,16161,5,0,0.933333333333,3,19,25.933333333333,31,0,2,2,0,0,1,2,1,1,0,1,1,0,2,1,1,3,2,0,0,0,1,2,1,0,1,2,0,1,0,22,24,26,26,26,26,26,26,26,28,28,26,24,22,22,24,26,26,28,28,28,28,28,26,26,26,26,26,26,28
880052,5010,3.699837725867,13201,5,1,0.766666666667,2,19,23.466666666667,30,1,1,1,0,1,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,2,1,1,0,1,1,0,2,0,2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,22,22,20,18
880053,10,1.000000000000,25,5,0,0.400000000000,1,12,24.000000000000,10,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
880054,3450,3.537819095073,7545,5,0,0.833333333333,3,19,25.400000000000,30,0,0,1,2,1,1,0,1,1,0,1,0,3,1,1,0,0,1,2,1,0,0,2,2,0,1,0,1,1,1,26,26,26,24,24,24,26,28,28,28,26,24,22,24,24,26,26,26,26,26,24,24,26,24,24,26,28,26,26,24
880055,5880,3.769377326076,14071,5,1,1.100000000000,4,22,25.733333333333,31,1,1,0,1,4,2,1,1,2,1,2,2,0,2,1,1,1,0,0,1,1,2,2,0,1,1,2,0,0,0,26,28,26,26,26,24,20,20,22,22,26,24,26,24,26,28,28,28,28,28,26,26,26,26,24,28,26,28,28,28
880056,22920,4.360214613295,55687,5,1,0.933333333333,2,24,24.200000000000,31,1,1,0,1,1,1,0,1,2,2,1,0,0,1,1,2,1,1,0,1,1,1,0,1,2,1,1,1,1,1,24,22,24,24,26,26,26,24,22,24,24,26,26,24,24,24,24,24,24,24,26,24,24,22,22,20,24,26,26,26
880057,2495,3.397070549959,6590,5,2,1.133333333333,2,24,26.733333333333,31,2,1,0,1,2,0,2,2,1,0,1,0,2,1,1,1,2,0,1,1,2,2,1,1,1,1,2,2,1,0,28,28,26,26,24,24,26,28,28,28,28,28,28,28,26,28,28,24,24,26,26,28,26,28,28,28,28,26,26,24
880058,5605,3.748575616931,13796,5,1,1.333333333333,3,25,27.000000000000,31,1,1,1,2,2,2,2,1,2,0,1,1,2,3,3,2,0,0,1,3,1,1,1,1,1,0,1,0,3,1,26,28,24,26,26,26,28,28,26,26,26,28,28,28,26,28,28,28,28,26,26,26,28,26,26,28,28,28,28,28
880059,350,2.544068044350,861,5,1,0.700000000000,3,17,23.933333333333,31,1,0,0,1,0,1,0,0,1,1,0,0,1,3,0,0,1,2,1,1,0,1,1,1,0,1,1,2,0,0,24,22,22,22,24,24,26,26,26,24,22,22,24,24,24,24,24,22,22,24,24,24,26,26,24,22,24,24,26,26
880060,7360,3.866877814337,15551,5,2,0.766666666667,3,17,23.266666666667,28,2,0,1,3,0,1,0,1,0,1,1,0,1,0,0,1,0,2,0,1,1,0,3,1,1,1,0,1,0,0,24,20,20,22,22,24,26,26,24,22,22,24,26,26,26,24,22,20,22,24,24,22,20,20,22,22,24,26,26,26
880061,520,2.716003343635,1543,5,0,0.966666666667,3,20,27.000000000000,29,0,1,2,3,1,0,1,0,2,1,0,2,1,1,1,0,1,1,1,1,0,2,0,3,0,0,1,1,2,0,28,28,26,26,28,28,28,26,28,26,26,26,26,26,26,28,28,26,28,28,26,26,26,26,28,28,28,26,28,28
880062,515,2.711807229041,1538,5,1,0.866666666667,3,18,25.800000000000,29,1,0,1,0,1,2,0,1,0,1,2,0,0,0,2,1,2,1,0,0,1,1,1,2,3,1,0,0,0,2,24,26,26,26,26,26,24,26,26,24,24,26,26,26,26,26,26,26,26,26,26,24,22,24,26,28,28,28,28,28
880063,3575,3.553276046137,7670,5,2,1.033333333333,3,21,25.133333333333,31,2,0,0,1,1,3,0,0,1,1,3,1,0,2,1,1,0,1,1,1,1,1,0,1,2,2,0,1,3,0,26,26,26,24,22,22,24,24,26,26,26,22,24,24,26,24,24,26,26,26,28,28,28,26,28,26,24,24,26,22
880064,10,1.000000000000,25,5,0,0.400000000000,2,6,25.000000000000,9,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,26,26,24,24,24,24,24,26,26,26,26,26,24,24,24,24,24,26,26,26,26,26,24,24,24,24,24,26,26,26
880065,200,2.301029995664,455,5,0,0.533333333333,2,14,24.666666666667,31,0,1,0,1,0,0,2,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,2,0,0,0,1,1,1,0,24,26,26,26,24,24,24,24,24,26,24,24,24,26,24,24,26,26,26,26,26,26,26,24,24,24,22,22,24,24
880066,35,1.544068044350,98,5,1,0.700000000000,3,14,27.000000000000,28,1,0,3,1,0,0,1,2,0,1,0,1,0,0,1,0,1,2,0,0,0,1,2,1,0,0,0,3,0,0,26,26,26,28,26,26,28,26,26,26,28,28,28,28,28,26,26,28,28,28,28,26,26,26,28,28,28,28,26,26
880067,470,2.672097857936,981,5,2,0.733333333333,2,16,25.733333333333,29,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,0,2,2,1,2,0,2,0,1,1,0,28,26,26,28,28,26,28,26,26,28,28,28,28,28,26,26,24,26,24,26,24,26,24,22,24,22,24,24,24,24
880068,25,1.397940008672,56,5,0,0.500000000000,2,12,22.400000000000,23,0,1,0,0,2,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,24,24,22,22,22,18,20,22,22,24,24,24,22,22,20,22,22,24,24,22,22,22,22,22,24,24,24,22,22,22
880069,18390,4.264581729238,51157,5,1,1.133333333333,2,23,26.466666666667,30,1,0,2,0,2,2,0,1,0,2,2,0,2,1,2,2,1,2,1,0,1,2,2,1,1,1,1,1,0,1,26,28,28,26,26,28,28,28,28,24,22,26,26,26,26,26,26,26,26,26,26,28,28,24,26,26,28,28,28,26
880070,1095,3.039414119176,3142,5,1,0.933333333333,2,20,26.800000000000,30,1,1,0,1,2,2,0,1,0,0,2,1,1,2,1,2,0,1,0,0,1,1,1,2,2,2,0,0,0,1,28,28,28,28,28,26,28,28,26,26,26,26,24,26,26,24,26,26,28,28,28,24,26,26,28,26,28,28,28,28
880071,1025,3.010723865392,3072,5,0,0.833333333333,3,19,24.800000000000,31,0,0,1,0,3,0,0,2,1,1,0,0,1,2,1,0,1,1,1,2,1,0,2,1,1,0,1,1,0,1,26,26,26,26,26,24,24,26,24,24,24,24,24,26,26,26,26,24,22,24,24,24,24,24,24,24,26,26,26,24
880072,10,1.000000000000,25,5,0,0.200000000000,1,6,22.000000000000,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
880073,13000,4.113943352307,29383,5,1,1.200000000000,3,24,26.000000000000,30,1,1,2,3,1,3,1,1,1,1,2,2,1,0,0,2,2,1,0,1,2,0,2,1,0,1,2,0,1,1,26,26,24,26,28,26,26,24,24,22,24,26,26,28,28,28,28,24,24,26,24,26,28,28,26,26,26,26,28,28
880074,855,2.931966114728,1878,5,2,0.900000000000,3,19,25.400000000000,31,2,1,0,0,3,1,1,2,0,2,1,1,0,1,2,0,1,2,0,0,1,0,1,0,2,1,0,1,0,1,28,26,26,26,26,22,20,22,24,24,26,26,24,24,24,24,24,28,26,26,28,28,26,26,24,24,26,28,28,28
880075,25655,4.409172018991,58422,5,1,1.266666666667,3,26,24.866666666667,31,1,1,2,0,1,3,1,2,1,1,2,2,1,2,1,0,2,1,1,1,2,2,0,0,2,2,1,1,1,1,26,26,26,28,26,26,28,24,26,24,24,22,24,24,26,24,24,24,24,22,26,28,26,26,28,24,20,22,24,24
880076,1000,3.000000000000,2023,5,0,0.866666666667,3,19,26.266666666667,31,0,1,0,2,1,0,1,0,0,1,0,1,1,2,0,2,0,1,1,2,1,0,1,1,3,0,1,0,2,1,28,28,28,28,26,26,28,28,28,28,28,26,26,24,24,24,26,24,24,26,26,28,26,28,24,24,24,26,26,28
880077,38190,4.581949658373,103725,5,1,1.266666666667,4,22,23.933333333333,31,1,2,2,1,2,2,1,1,1,2,0,1,1,2,2,2,1,0,0,4,1,0,0,0,3,2,0,1,0,3,24,24,26,22,22,22,22,26,28,26,26,26,28,24,24,22,24,22,22,22,26,26,26,26,22,22,22,22,22,22
880078,285,2.454844860009,796,5,0,0.866666666667,2,20,24.933333333333,31,0,1,1,2,1,1,0,1,0,2,0,0,1,2,1,1,1,1,2,1,0,1,1,2,0,0,2,0,1,0,22,24,26,24,26,26,26,26,26,24,26,26,26,24,24,24,24,22,22,24,26,24,26,26,26,26,28,24,26,24
880079,6140,3.788168371141,14331,5,1,1.233333333333,4,24,26.466666666667,30,1,0,1,1,0,2,1,1,2,2,0,1,1,1,2,2,0,1,1,1,2,2,2,4,1,0,0,1,3,1,28,28,28,28,28,28,24,24,22,26,26,26,26,26,24,28,26,28,28,28,28,24,24,26,28,28,28,28,26,24
880080,510,2.707570176098,1021,5,0,0.966666666667,3,17,23.733333333333,29,0,0,1,3,1,0,0,0,3,1,1,0,0,2,1,1,0,0,3,1,0,0,0,3,2,1,1,0,3,1,26,26,24,24,24,24,24,24,20,20,24,26,26,26,26,24,22,22,22,22,24,24,24,22,22,24,24,24,24,24
880081,405,2.607455023215,916,5,2,0.766666666667,2,17,24.200000000000,29,2,0,0,0,2,0,1,1,0,1,1,0,0,0,1,1,1,1,0,2,2,0,1,0,2,1,0,0,1,2,26,26,26,26,24,22,20,22,24,24,26,26,26,26,26,24,24,22,22,24,24,24,22,24,24,26,24,24,24,24
880082,10955,4.039612381897,27338,5,1,0.866666666667,3,20,25.333333333333,30,1,1,1,1,3,1,0,1,1,2,0,1,0,0,1,0,1,0,0,2,0,0,1,1,2,1,1,0,1,2,22,22,22,24,28,24,24,24,26,24,26,26,28,28,28,26,28,26,26,28,26,26,26,24,22,24,24,26,26,26
880083,25,1.397940008672,56,5,0,0.466666666667,2,12,23.800000000000,23,0,1,0,1,0,0,1,0,2,0,0,1,0,1,0,0,1,0,2,1,0,0,0,0,1,0,1,0,1,0,22,24,26,26,26,26,24,22,22,22,22,24,24,24,24,24,22,22,22,24,24,24,24,24,22,22,24,26,26,26
880084,70,1.845098040014,197,5,1,0.433333333333,1,13,23.333333333333,27,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,24,24,24,22,24,24,26,24,24,24,24,24,24,24,24,22,20,22,22,24,24,24,24,24,22,22,24,22,22,22
880085,12200,4.086359830675,28583,5,1,1.066666666667,3,23,24.933333333333,31,1,0,2,1,2,0,2,0,0,1,2,1,1,2,1,2,1,1,0,3,0,1,1,2,1,1,1,0,1,1,24,24,26,26,24,26,26,28,28,28,28,26,24,26,24,24,26,24,24,24,26,24,24,24,22,22,24,24,24,24
880086,650,2.812913356643,1673,5,0,0.733333333333,3,16,26.333333333333,30,0,1,0,1,3,0,0,0,2,0,0,2,1,1,0,1,1,0,1,1,0,1,1,0,2,0,1,2,0,0,28,28,26,26,26,28,28,28,26,24,24,26,24,22,24,26,26,28,28,28,28,28,26,26,26,24,24,28,28,28
880087,55,1.740362689494,118,5,0,0.800000000000,2,19,26.066666666667,31,0,0,1,2,0,0,1,1,1,2,1,0,0,1,1,1,1,0,2,2,0,0,1,1,1,0,0,1,2,1,26,26,28,28,26,26,28,24,24,26,28,26,26,24,22,24,24,26,26,28,26,26,28,26,28,28,28,26,26,24
880088,5005,3.699404081815,13196,5,1,0.933333333333,3,22,23.266666666667,30,1,1,1,1,0,1,1,1,1,1,3,1,1,2,0,1,0,0,2,1,1,0,1,0,1,2,1,0,2,0,26,24,20,20,18,20,20,20,20,22,26,22,22,24,24,26,26,26,24,24,24,26,26,26,26,24,20,22,26,24
880089,30,1.477121254720,61,5,0,0.466666666667,1,14,25.333333333333,23,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,24,24,24,24,26,26,26,26,26,26,26,26,26,26,24,24,24,24,24,26,26,26,26,26,26,26,26,26,26,24
880090,40,1.602059991328,103,5,1,0.800000000000,2,20,27.133333333333,29,1,1,0,0,2,1,1,1,1,1,1,1,1,1,2,0,1,1,2,0,0,0,0,2,0,1,0,1,1,0,28,28,26,26,28,28,28,28,26,26,24,24,26,26,26,26,26,28,28,28,28,28,28,28,28,28,28,28,28,28
880091,1640,3.214843848048,3687,5,0,0.800000000000,3,16,23.000000000000,31,0,1,1,1,0,0,1,3,0,0,1,0,2,1,0,0,1,2,0,0,2,0,2,0,2,0,0,2,1,1,24,24,24,24,24,24,24,24,22,22,24,22,22,24,24,24,24,24,22,22,22,22,18,22,22,22,22,24,24,24
880092,1350,3.130333768495,3397,5,2,1.000000000000,2,21,25.200000000000,31,2,1,1,2,1,2,2,0,0,1,1,1,0,1,0,1,1,1,2,1,2,0,0,2,0,2,1,2,0,0,24,22,22,26,26,28,28,24,24,24,24,24,24,24,26,26,26,26,24,26,26,26,26,26,26,22,24,26,28,28
880093,10,1.000000000000,25,5,0,0.600000000000,2,12,27.000000000000,10,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,0,1,2,0,0,26,28,28,28,28,28,26,26,26,26,26,28,28,28,28,28,26,26,26,26,26,28,28,28,28,28,26,26,26,26
880094,210,2.322219294734,465,5,1,0.600000000000,2,16,21.200000000000,30,1,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,2,0,0,0,22,24,24,24,22,22,20,20,20,20,22,22,22,22,22,20,20,20,22,20,20,20,20,20,20,20,20,22,22,22
880095,8240,3.915927211697,24623,5,1,1.000000000000,2,21,23.266666666667,30,1,2,1,0,1,1,2,0,1,2,0,2,2,0,2,1,1,0,0,2,1,1,2,0,1,0,2,1,1,0,18,20,20,22,24,24,24,24,24,24,22,22,22,22,20,24,24,26,26,24,22,22,22,26,26,26,26,26,24,22
