pair_id,cycle_id,cycle,phase,state_encoding,state_masks,reversed_state_encoding,reversed_state_masks,density_encoding,density,successor_encoding,next_state_masks,predecessor_encoding,previous_state_masks,velocity_reversal_partner_cycle,velocity_reversal_partner_phase,observation_reversal_shift,least_period,collision_sites
4,P04-B,B,2,000024018,8 1 0 4 2 0 0 0 0,000081042,2 4 0 1 8 0 0 0 0,110/110/000,1 1 0 1 1 0 0 0 0,014200800,0 0 8 0 0 2 4 1 0,000012084,4 8 0 2 1 0 0 0 0,A,1,0,3,0
5,P05-A,A,0,800014200,0 0 2 4 1 0 0 0 8,200041800,0 0 8 1 4 0 0 0 2,001/110/001,0 0 1 1 1 0 0 0 1,084000012,2 1 0 0 0 0 4 8 0,018000024,4 2 0 0 0 0 8 1 0,B,0,0,3,0
5,P05-A,A,1,084000012,2 1 0 0 0 0 4 8 0,021000048,8 4 0 0 0 0 1 2 0,110/000/110,1 1 0 0 0 0 1 1 0,018000024,4 2 0 0 0 0 8 1 0,800014200,0 0 2 4 1 0 0 0 8,B,2,0,3,0
5,P05-A,A,2,018000024,4 2 0 0 0 0 8 1 0,042000081,1 8 0 0 0 0 2 4 0,110/000/110,1 1 0 0 0 0 1 1 0,800014200,0 0 2 4 1 0 0 0 8,084000012,2 1 0 0 0 0 4 8 0,B,1,0,3,0
5,P05-B,B,0,200041800,0 0 8 1 4 0 0 0 2,800014200,0 0 2 4 1 0 0 0 8,001/110/001,0 0 1 1 1 0 0 0 1,042000081,1 8 0 0 0 0 2 4 0,021000048,8 4 0 0 0 0 1 2 0,A,0,0,3,0
5,P05-B,B,1,042000081,1 8 0 0 0 0 2 4 0,018000024,4 2 0 0 0 0 8 1 0,110/000/110,1 1 0 0 0 0 1 1 0,021000048,8 4 0 0 0 0 1 2 0,200041800,0 0 8 1 4 0 0 0 2,A,2,0,3,0
5,P05-B,B,2,021000048,8 4 0 0 0 0 1 2 0,084000012,2 1 0 0 0 0 4 8 0,110/000/110,1 1 0 0 0 0 1 1 0,200041800,0 0 8 1 4 0 0 0 2,042000081,1 8 0 0 0 0 2 4 0,A,1,0,3,0
6,P06-A,A,0,104080020,0 2 0 0 8 0 4 0 1,401020080,0 8 0 0 2 0 1 0 4,010/010/101,0 1 0 0 1 0 1 0 1,000108204,4 0 2 8 0 1 0 0 0,000804102,2 0 1 4 0 8 0 0 0,B,0,0,3,0
6,P06-A,A,1,000108204,4 0 2 8 0 1 0 0 0,000402801,1 0 8 2 0 4 0 0 0,101/101/000,1 0 1 1 0 1 0 0 0,000804102,2 0 1 4 0 8 0 0 0,104080020,0 2 0 0 8 0 4 0 1,B,2,0,3,0
6,P06-A,A,2,000804102,2 0 1 4 0 8 0 0 0,000201408,8 0 4 1 0 2 0 0 0,101/101/000,1 0 1 1 0 1 0 0 0,104080020,0 2 0 0 8 0 4 0 1,000108204,4 0 2 8 0 1 0 0 0,B,1,0,3,0
