quantity,q2.5,median,q97.5,mean,sd
H0,67.617424,68.17276933333333,68.718072,68.1718970089174,0.2820399022124859
omega_m,0.295669026,0.30265497,0.30988262899999997,0.30267703552518826,0.003633739361313801
omega_lambda,0.6901175500000001,0.6973450299999999,0.704330974,0.6973229644748117,0.003633739361313801
horizon_time_Gyr,16.95523684960786,17.175812462031573,17.40499661886457,17.176736071726285,0.1151830373756463
S_dS_over_kB,3.0944762852080072e+122,3.175513885158388e+122,3.2608237353660253e+122,3.1759982229041767e+122,4.260740483384955e+120
log10_t_thermo_rec_years,1.3439139750463107e+122,1.3791081575314443e+122,1.4161577547286143e+122,1.379318502741818e+122,1.8504160807558797e+120
log10log10_t_thermo_rec_years,122.1283714700488,122.13959832736303,122.15111163484508,122.13962551162707,0.005822983089693712
