log10_horizon_years,log10_mean_thermo_wait_years,rare_event_log10P_approx,horizon_exponent_fraction,interpretation
10,1.3846841456061986E+122,-1.38468414560619859999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999990E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-122,P ~= T/t_thermo for T << t_thermo
100,1.3846841456061986E+122,-1.38468414560619859999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999900E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-121,P ~= T/t_thermo for T << t_thermo
1000,1.3846841456061986E+122,-1.38468414560619859999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999000E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-120,P ~= T/t_thermo for T << t_thermo
1E+6,1.3846841456061986E+122,-1.38468414560619859999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-117,P ~= T/t_thermo for T << t_thermo
1E+20,1.3846841456061986E+122,-1.384684145606198599999999999999999999999999999999999999999999999999999999999999999999999999999999999999E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-103,P ~= T/t_thermo for T << t_thermo
1E+100,1.3846841456061986E+122,-1.3846841456061985999999E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-23,P ~= T/t_thermo for T << t_thermo
1E+120,1.3846841456061986E+122,-1.3746841456061986E+122,7.22186357930899570517715275501735252982357064593564276525511719902174463846200609930925853809589659681430151514185638454257585096363537747594819413752200581548938917435100260186287E-3,P ~= T/t_thermo for T << t_thermo
